Year,Name,Revenue,product_name,category_name,city,state,order_date,product_name,category_name,brand_name,store_name
2016,Aaron Knapp,449,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Yonkers,NY,2/20/2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes
2016,Aaron Knapp,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Yonkers,NY,2/20/2016,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Baldwin Bikes
2016,Abbey Pugh,3098,Surly Straggler - 2016,Cyclocross Bicycles,Forest Hills,NY,4/8/2016,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes
2016,Abbey Pugh,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Forest Hills,NY,4/8/2016,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes
2016,Adam Thornton,1549,Surly Straggler - 2016,Cyclocross Bicycles,Central Islip,NY,9/16/2016,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes
2016,Adam Thornton,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Central Islip,NY,9/16/2016,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes
2016,Adam Thornton,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Central Islip,NY,9/16/2016,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes
2016,Adelaida Hancock,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,San Pablo,CA,9/29/2016,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,Santa Cruz Bikes
2016,Adelaida Hancock,449,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,San Pablo,CA,9/29/2016,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,Santa Cruz Bikes
2016,Adelaida Hancock,3098,Surly Straggler - 2016,Cyclocross Bicycles,San Pablo,CA,9/29/2016,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes
2016,Adelaida Hancock,5999.98,Trek Conduit+ - 2016,Electric Bikes,San Pablo,CA,9/29/2016,Trek Conduit+ - 2016,Electric Bikes,Trek,Santa Cruz Bikes
2016,Adelle Larsen,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,East Northport,NY,4/19/2016,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes
2016,Adelle Larsen,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,East Northport,NY,4/19/2016,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes
2016,Adelle Larsen,449,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,East Northport,NY,4/19/2016,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes
2016,Adelle Larsen,3361.98,Surly Straggler 650b - 2016,Cyclocross Bicycles,East Northport,NY,4/19/2016,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes
2016,Adriene Rivera,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Encino,CA,4/8/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Santa Cruz Bikes
2016,Adriene Rivera,749.99,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Encino,CA,4/8/2016,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,Santa Cruz Bikes
2016,Adriene Rivera,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Encino,CA,4/8/2016,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes
2016,Adriene Rollins,449,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Plainview,NY,7/26/2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes
2016,Adriene Rollins,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Plainview,NY,7/26/2016,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Baldwin Bikes
2016,Afton Juarez,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Coram,NY,8/14/2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes
2016,Afton Juarez,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Coram,NY,8/14/2016,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Baldwin Bikes
2016,Afton Juarez,3098,Surly Straggler - 2016,Cyclocross Bicycles,Coram,NY,8/14/2016,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes
2016,Agatha Daniels,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,South El Monte,CA,10/31/2016,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,Santa Cruz Bikes
2016,Agatha Daniels,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,South El Monte,CA,10/31/2016,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Santa Cruz Bikes
